Ticker,Date,Time,Open,High,Low,Close,Volume
SPY,4/28/1998,10:00,73.75,73.77,73.5,73.56,562720
SPY,4/28/1998,10:30,73.6,73.84,73.58,73.77,402620
SPY,4/28/1998,11:00,73.75,73.75,73.39,73.54,875046
SPY,4/28/1998,11:30,73.41,73.6,73.31,73.56,517572
SPY,4/28/1998,12:00,73.56,73.6,73.44,73.52,151486
SPY,4/28/1998,12:30,73.58,73.65,73.46,73.48,186680
SPY,4/28/1998,13:00,73.48,73.54,73.39,73.39,231533
SPY,4/28/1998,13:30,73.29,73.39,73.06,73.06,703812
SPY,4/28/1998,14:00,73.06,73.14,72.87,72.99,889447
SPY,4/28/1998,14:30,73.02,73.27,72.93,73.1,344701
SPY,4/28/1998,15:00,72.97,73.06,72.8,72.93,874748
SPY,4/28/1998,15:30,73.04,73.23,72.87,73.14,668164
SPY,4/28/1998,16:00,73.1,73.16,73.04,73.1,466482
SPY,4/29/1998,9:30,73.41,73.63,73.29,73.44,3364582
SPY,4/29/1998,10:00,73.44,73.52,73.02,73.12,1015392
SPY,4/29/1998,10:30,73.23,73.46,73.12,73.39,251140
SPY,4/29/1998,11:00,73.39,73.56,73.31,73.44,343066
SPY,4/29/1998,11:30,73.41,73.63,73.41,73.56,786381
SPY,4/29/1998,12:00,73.6,73.63,73.39,73.48,436480
SPY,4/29/1998,12:30,73.44,73.6,73.35,73.58,676482
SPY,4/29/1998,13:00,73.58,73.65,73.5,73.52,548462
SPY,4/29/1998,13:30,73.46,73.73,73.46,73.67,239404
SPY,4/29/1998,14:00,73.71,73.9,73.71,73.88,1059802
SPY,4/29/1998,14:30,73.88,73.94,73.73,73.81,411830
SPY,4/29/1998,15:00,73.81,74.05,73.79,73.92,600887
SPY,4/29/1998,15:30,73.94,74.03,73.69,73.75,1016576
SPY,4/29/1998,16:00,73.75,73.84,73.56,73.6,298068
SPY,4/30/1998,9:30,74.46,74.77,74.35,74.69,2528548
SPY,4/30/1998,10:00,74.69,74.75,74.54,74.75,1581455
SPY,4/30/1998,10:30,74.67,75.05,74.6,74.86,1923583
SPY,4/30/1998,11:00,74.92,75.07,74.88,74.94,524623
SPY,4/30/1998,11:30,75,75.17,74.94,75.15,1139684
SPY,4/30/1998,12:00,75.13,75.34,75.07,75.24,787159
SPY,4/30/1998,12:30,75.26,75.36,75.19,75.26,586098
SPY,4/30/1998,13:00,75.26,75.34,75.17,75.21,512004
SPY,4/30/1998,13:30,75.21,75.32,75.13,75.15,427360
SPY,4/30/1998,14:00,75.19,75.28,75.13,75.17,245457
SPY,4/30/1998,14:30,75.17,75.26,75.09,75.19,842547
SPY,4/30/1998,15:00,75.21,75.3,75.13,75.28,486906
SPY,4/30/1998,15:30,75.26,75.3,74.96,75.05,599466
SPY,4/30/1998,16:00,74.96,75.05,74.92,74.98,680990
SPY,5/1/1998,9:30,75.43,75.6,75.29,75.33,740715
SPY,5/1/1998,10:00,75.41,75.6,75.35,75.35,1193289
SPY,5/1/1998,10:30,75.27,75.41,75.16,75.22,605311
SPY,5/1/1998,11:00,75.22,75.33,75.14,75.29,458503
SPY,5/1/1998,11:30,75.27,75.35,75.14,75.33,476724
SPY,5/1/1998,12:00,75.35,75.41,75.27,75.27,44443
SPY,5/1/1998,12:30,75.27,75.33,75.22,75.24,124588
SPY,5/1/1998,13:00,75.27,75.41,75.27,75.41,26665
SPY,5/1/1998,13:30,75.35,75.46,75.29,75.43,612864
SPY,5/1/1998,14:00,75.39,75.43,75.33,75.33,47996
SPY,5/1/1998,14:30,75.35,75.48,75.35,75.48,74812
SPY,5/1/1998,15:00,75.41,75.6,75.41,75.58,312581
SPY,5/1/1998,15:30,75.6,75.81,75.56,75.73,702938
SPY,5/1/1998,16:00,75.71,76,75.71,76,388577
SPY,5/4/1998,9:30,75.9,76.11,75.77,76.11,1641679
SPY,5/4/1998,10:00,76.09,76.3,76.05,76.15,853953
SPY,5/4/1998,10:30,76.19,76.21,76.09,76.17,308911
SPY,5/4/1998,11:00,76.13,76.17,75.98,76.05,316781
SPY,5/4/1998,11:30,76.09,76.09,75.86,75.9,333710
SPY,5/4/1998,12:00,75.86,75.86,75.6,75.75,472872
SPY,5/4/1998,12:30,75.81,75.92,75.71,75.9,265840
SPY,5/4/1998,13:00,75.94,76.05,75.88,76.05,258715
SPY,5/4/1998,13:30,76,76,75.79,75.88,98615
SPY,5/4/1998,14:00,75.86,75.94,75.71,75.94,291978
SPY,5/4/1998,14:30,75.92,76.07,75.88,76,676927
SPY,5/4/1998,15:00,76,76.02,75.83,75.96,394453
SPY,5/4/1998,15:30,76,76,75.52,75.58,474803
SPY,5/4/1998,16:00,75.65,75.69,75.58,75.62,326582
SPY,5/5/1998,9:30,75.41,75.46,75.18,75.33,1040351
SPY,5/5/1998,10:00,75.41,75.52,75.29,75.46,329256
SPY,5/5/1998,10:30,75.41,75.41,75.04,75.08,446585
SPY,5/5/1998,11:00,75.14,75.2,75.01,75.12,507622
SPY,5/5/1998,11:30,75.12,75.2,75.1,75.12,218167
SPY,5/5/1998,12:00,75.14,75.31,75.12,75.2,145990
SPY,5/5/1998,12:30,75.2,75.27,75.12,75.12,415097
SPY,5/5/1998,13:00,75.1,75.14,74.99,74.99,795587
SPY,5/5/1998,13:30,74.99,75.1,74.82,74.93,851725
