,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,param_svm__kernel,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
21,0.016200971603393555,0.0011663511885014344,0.006000328063964844,0.0006324851073777583,1,1,rbf,,"{'svm__C': 1, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
22,0.02020111083984375,0.006013637618983999,0.0058003425598144535,0.0003999948892390431,1,10,rbf,,"{'svm__C': 1, 'svm__gamma': 10, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.59375,0.55625,0.5625,0.56875,0.56875,0.5700000000000001,0.01274754878398196
23,0.0178009033203125,0.0036552102529222143,0.005400419235229492,0.0004898819446615681,1,100,rbf,,"{'svm__C': 1, 'svm__gamma': 100, 'svm__kernel': 'rbf'}",0.5,0.6,0.575,0.45,0.45,0.515,0.06244997998398396,44,0.6375,0.625,0.64375,0.675,0.65,0.64625,0.016583123951777017
24,0.01500082015991211,0.0010953657179721195,0.0058003425598144535,0.0007485448668402396,10,0.001,rbf,,"{'svm__C': 10, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
25,0.016601037979125977,0.004587206382891082,0.005600118637084961,0.0008000850748536953,10,0.01,rbf,,"{'svm__C': 10, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
26,0.016200971603393555,0.002039810662469964,0.005600357055664062,0.0004899013824479931,10,0.1,rbf,,"{'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
27,0.016800975799560545,0.0020396750637929175,0.005600261688232422,0.0004899208705145337,10,1,rbf,,"{'svm__C': 10, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
28,0.0174008846282959,0.0024168286746505084,0.005400466918945313,0.0010199076698315633,10,10,rbf,,"{'svm__C': 10, 'svm__gamma': 10, 'svm__kernel': 'rbf'}",0.5,0.55,0.525,0.425,0.5,0.5,0.0418330013267038,48,0.58125,0.59375,0.6125,0.63125,0.59375,0.6025,0.017499999999999988
29,0.01760101318359375,0.001019973139442043,0.006400394439697266,0.0010198141552287454,10,100,rbf,,"{'svm__C': 10, 'svm__gamma': 100, 'svm__kernel': 'rbf'}",0.475,0.575,0.5,0.4,0.475,0.485,0.056124860801609104,49,0.6875,0.69375,0.7125,0.725,0.69375,0.7025,0.014031215200402283
30,0.021401166915893555,0.013321557322946313,0.006400394439697266,0.0014966755530474284,100,0.001,rbf,,"{'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
31,0.02080116271972656,0.0072776485021782055,0.006000375747680664,0.0006324851109726836,100,0.01,rbf,,"{'svm__C': 100, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
