,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
12,0.0045071601867675785,0.0041332769390592765,0.001120281219482422,5.6683364096247725e-05,0.1,0.001,rbf,,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
13,0.00238037109375,0.00014427086274037298,0.0010741710662841796,7.277066222634604e-05,0.1,0.01,rbf,,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
14,0.002399730682373047,9.912496074611275e-05,0.0031366825103759767,0.004084725913651034,0.1,0.1,rbf,,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
15,0.002461862564086914,6.13621802113235e-05,0.0010706424713134766,3.6860961934906807e-05,0.1,1,rbf,,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
16,0.005098915100097657,0.005099375266075546,0.002916240692138672,0.0034327287960718017,0.1,10,rbf,,"{'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
17,0.004611778259277344,0.0027271802552932033,0.0012408733367919923,0.0002937522252446883,0.1,100,rbf,,"{'C': 0.1, 'gamma': 100, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
18,0.002365732192993164,0.00011558188458468426,0.001074504852294922,8.115516282141739e-05,1,0.001,rbf,,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
19,0.002374744415283203,4.927682350336144e-05,0.0010515689849853516,4.089962145654701e-05,1,0.01,rbf,,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
20,0.0026486396789550783,0.0001524150435652554,0.002105426788330078,0.001243950634293981,1,0.1,rbf,,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
21,0.005339717864990235,0.005600267611848772,0.0011104583740234376,3.8735968608490474e-05,1,1,rbf,,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.5,0.5641025641025641,0.5128205128205128,0.54,0.027526779274658592,38,0.5786163522012578,0.5723270440251572,0.6125,0.5838509316770186,0.6273291925465838,0.5949247040900035,0.021251761882934202
